Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Specie
b3e2ccdecd97343335290769e07085b4	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Atheliaceae	g__Athelia	s__Athelia_arachnoidea
669359135644e2ea787dc0b7ea81d742	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__unidentified
7a194070700338bb1c4e4b52ef61b0cb	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Vibrisseaceae	g__Phialocephala	s__Phialocephala_sphaeroides
6083d191aafab005013f6effcbe2bc37	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Atheliaceae	g__Piloderma	s__unidentified
9b45781c1732a2fb57c54d10c73e4d8d	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Cadophora	s__Cadophora_finlandica
1888211beddd47c4ff8dbca9eca73276	k__Fungi	p__Ascomycota					
7cc34c8a5b704926fdcd5e7cf94da42b	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Strophariaceae	g__Galerina	s__Galerina_lubrica
91d6447dceee9c0ba66b2dbc6b0dffa6	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unidentified	g__unidentified	s__unidentified
23d2fe7203661af368b619acde07e050	k__Fungi	p__Ascomycota					
9022476d50ce155163dd0e50ef1ae5f5	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Suillaceae	g__Suillus	s__Suillus_variegatus
dee6dcf094f7aa6309471619f99413ae	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Cryptosporiopsis	s__unidentified
412f9bc133aaa381cbf474ab8dfb4281	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__unidentified	s__unidentified
7ebb31f40ea00f373f4c6862131e4a89	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unidentified	g__unidentified	s__unidentified
a1a9c901b719cf44d92f59f5570d1a84	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Exophiala	s__Exophiala_moniliae
647833063ab33ee6e2557348fcb505eb	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Vibrisseaceae	g__Phialocephala	s__unidentified
c03753bda86208bc3fe76f729e240b10	k__Fungi						
ee57acf6ad68f441135cf3e6d9b25511	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Megasporaceae	g__Aspicilia	s__unidentified
